Term Code,Department,Subject,Course,CourseGPA,StudentGPA
4198,AERO,AERO-A,101,3.628,3.101
4198,AERO,AERO-A,151,4,3.175
4198,AERO,AERO-A,201,3.808,3.212
4198,AERO,AERO-A,301,3.9,3.484
4198,AERO,AERO-A,401,3.95,3.497
4198,MIL,MIL-G,101,3.81,2.867
4198,MIL,MIL-G,201,3.865,3.327
4198,MIL,MIL-G,290,NR,NR
4198,MIL,MIL-G,301,3.718,3.296
4198,MIL,MIL-G,401,3.35,3.344
4198,ENG,ENG-L,503,NR,NR
4198,ENG,ENG-W,500,NR,NR
4198,BUEX,BUEX-C,531,3.4,3.584
4198,BUEX,BUEX-C,533,3.513,3.692
4198,BUEX,BUEX-C,534,3.855,3.763
4198,BUEX,BUEX-C,535,3.444,3.625
4198,BUEX,BUEX-C,541,3.876,3.774
4198,BUEX,BUEX-V,594,3.775,3.765
4198,BUEX,BUEX-V,595,3.981,3.918
4198,BUEX,BUEX-V,596,3.044,3.38
4198,BUEX,BUEX-V,597,3.734,3.8
4198,BUEX,BUEX-V,598,4,3.919
4198,BUEX,BUEX-V,599,3.991,3.938
4198,BUEX,BUEX-Z,504,3.781,3.841
4198,BUEX,BUEX-Z,516,3.858,3.853
4198,BUEX,BUEX-Z,521,3.765,3.853
4198,BUEX,BUEX-Z,522,3.777,3.853
4198,BUEX,BUEX-Z,541,3.919,3.841
4198,BUEX,BUEX-Z,571,NR,NR
4198,BUKD,BUKD-C,511,3.821,3.728
4198,BUKD,BUKD-C,518,3.468,3.539
4198,BUKD,BUKD-C,520,3.719,3.584
4198,BUKD,BUKD-C,522,3.833,3.666
4198,BUKD,BUKD-C,530,3.408,3.551
4198,BUKD,BUKD-C,540,3.326,3.626
4198,BUKD,BUKD-C,548,NR,NR
4198,BUKD,BUKD-C,554,3.545,3.709
4198,BUKD,BUKD-C,560,3.884,3.632
4198,BUKD,BUKD-C,561,3.601,3.7
4198,BUKD,BUKD-C,562,3.814,3.642
4198,BUKD,BUKD-C,565,3.391,3.607
4198,BUKD,BUKD-C,570,3.818,3.686
4198,BUKD,BUKD-C,580,3.887,3.796
4198,BUKD,BUKD-C,589,NR,NR
4198,BUKD,BUKD-D,734,3.553,3.643
4198,BUKD,BUKD-E,731,3.529,3.492
4198,BUKD,BUKD-F,741,3.516,3.642
4198,BUKD,BUKD-F,742,3.524,3.65
4198,BUKD,BUKD-G,596,3.51,3.751
4198,BUKD,BUKD-L,596,3.744,3.751
4198,BUKD,BUKD-N,525,3.468,3.631
4198,BUKD,BUKD-N,560,NR,NR
4198,BUKD,BUKD-T,560,NR,NR
4198,BUKD,BUKD-T,578,3.961,3.533
4198,BUKD,BUKD-T,579,2.833,3.267
4198,BUKD,BUKD-U,702,3.863,3.691
4198,BUKD,BUKD-U,710,3.764,3.704
4198,BUKD,BUKD-X,500,3.741,3.681
4198,BUKD,BUKD-X,501,3.745,3.596
4198,BUKD,BUKD-X,503,3.969,3.771
4198,BUKD,BUKD-X,520,3.896,3.683
4198,BUKD,BUKD-X,532,4,3.689
4198,BUKD,BUKD-X,574,3.902,3.697
4198,BUKD,BUKD-X,575,4,3.771
4198,BUKD,BUKD-Z,596,3.89,3.751
4198,BUS,BUS-A,100,3.116,3.354
4198,BUS,BUS-A,200,3.114,3.073
4198,BUS,BUS-A,201,2.874,3.386
4198,BUS,BUS-A,202,2.911,3.412
4198,BUS,BUS-A,205,3.433,3.795
4198,BUS,BUS-A,303,3.626,3.493
4198,BUS,BUS-A,310,3.399,3.418
4198,BUS,BUS-A,311,3.007,3.456
4198,BUS,BUS-A,312,3.01,3.524
4198,BUS,BUS-A,324,3.513,3.465
4198,BUS,BUS-A,325,3.145,3.486
4198,BUS,BUS-A,327,2.967,3.414
4198,BUS,BUS-A,329,3.045,3.488
4198,BUS,BUS-A,337,3.594,3.509
4198,BUS,BUS-A,422,3.265,3.485
4198,BUS,BUS-A,424,3.188,3.478
4198,BUS,BUS-A,437,3.348,3.463
4198,BUS,BUS-A,504,3.52,3.575
4198,BUS,BUS-A,509,3.752,3.626
4198,BUS,BUS-A,514,3.566,3.586
4198,BUS,BUS-A,527,3.545,3.641
4198,BUS,BUS-A,531,3.545,3.592
4198,BUS,BUS-A,537,3.395,3.647
4198,BUS,BUS-A,540,3.534,3.586
4198,BUS,BUS-A,551,3.612,3.645
4198,BUS,BUS-A,566,3.516,3.665
4198,BUS,BUS-A,568,3.854,3.65
4198,BUS,BUS-A,569,3.779,3.65
4198,BUS,BUS-A,576,3.709,3.644
4198,BUS,BUS-A,591,3.826,3.671
4198,BUS,BUS-A,602,3.829,3.837
4198,BUS,BUS-A,603,3.771,3.87
4198,BUS,BUS-C,104,3.516,3.36
4198,BUS,BUS-C,106,3.768,3.701
4198,BUS,BUS-C,204,3.527,3.389
4198,BUS,BUS-C,205,3.927,3.772
4198,BUS,BUS-C,575,4,3.622
4198,BUS,BUS-D,270,3.181,3.431
4198,BUS,BUS-D,271,3.452,3.477
4198,BUS,BUS-D,311,3.543,3.463
4198,BUS,BUS-D,312,3.517,3.433
4198,BUS,BUS-D,411,3.573,3.334
4198,BUS,BUS-D,496,NR,NR
4198,BUS,BUS-D,503,3.75,3.641
4198,BUS,BUS-D,504,3.636,3.527
4198,BUS,BUS-F,255,3.396,3.536
4198,BUS,BUS-F,260,2.826,3.054
4198,BUS,BUS-F,262,3.064,3.247
4198,BUS,BUS-F,300,2.913,3.129
4198,BUS,BUS-F,303,3.073,3.446
4198,BUS,BUS-F,304,3.512,3.847
4198,BUS,BUS-F,305,3.057,3.421
4198,BUS,BUS-F,307,3.097,3.318
4198,BUS,BUS-F,317,3.177,3.429
4198,BUS,BUS-F,335,3.115,3.404
4198,BUS,BUS-F,355,3.512,3.711
4198,BUS,BUS-F,365,3.521,3.397
4198,BUS,BUS-F,370,2.788,3.398
4198,BUS,BUS-F,390,NR,NR
4198,BUS,BUS-F,402,3.167,3.479
4198,BUS,BUS-F,419,3.097,3.416
4198,BUS,BUS-F,420,3.135,3.48
4198,BUS,BUS-F,421,2.783,3.453
4198,BUS,BUS-F,424,3.076,3.355
4198,BUS,BUS-F,428,3.993,3.67
4198,BUS,BUS-F,429,4,3.673
4198,BUS,BUS-F,446,2.808,3.427
4198,BUS,BUS-F,455,2.592,3.488
4198,BUS,BUS-F,470,NR,NR
4198,BUS,BUS-F,494,3.11,3.429
4198,BUS,BUS-F,507,3.589,3.606
4198,BUS,BUS-F,508,3.536,3.623
4198,BUS,BUS-F,517,3.684,3.583
4198,BUS,BUS-F,520,3.513,3.628
4198,BUS,BUS-F,525,3.308,3.621
4198,BUS,BUS-F,526,3.523,3.635
4198,BUS,BUS-F,540,3.61,3.582
4198,BUS,BUS-F,541,3.438,3.612
4198,BUS,BUS-F,546,3.469,3.638
4198,BUS,BUS-F,548,3.522,3.644
4198,BUS,BUS-F,550,3.63,3.738
4198,BUS,BUS-F,579,4,3.56
4198,BUS,BUS-F,600,3.771,3.829
4198,BUS,BUS-G,202,2.904,3.373
4198,BUS,BUS-G,300,2.958,3.156
4198,BUS,BUS-G,303,3.28,3.494
4198,BUS,BUS-G,304,3.108,3.525
4198,BUS,BUS-G,316,3.454,3.544
4198,BUS,BUS-G,345,3.172,3.505
4198,BUS,BUS-G,350,3.242,3.495
4198,BUS,BUS-G,400,3.752,3.477
4198,BUS,BUS-G,406,3.347,3.457
4198,BUS,BUS-G,456,3.7,3.548
4198,BUS,BUS-G,492,3.394,3.535
