Subject,Course,Course,CourseGPA,StudentGPA,ACG,Course Degree,Prerequisite 1,Degree of Prereq 1,Prerequisite 1.5,Degree of Prereq 1.5,Prerequisite 2,Degree of Prereq 2,Prerequisite 2.5,Degree of Prereq 2.5,Prerequisite 3,Degree of Prereq 3,Difficulty Score,Offered In Fall,Offered In Spring,Offered In Summer
AAAD-A,100,AAAD-A 100,3.8,3.068,4.233,1,,0,,0,,0,,0,,0,0,TRUE,TRUE,FALSE
AAAD-A,110,AAAD-A 110,3.694,3.046,4.144,1,,0,,0,,0,,0,,0,0.2375973167,TRUE,TRUE,FALSE
AAAD-A,113,AAAD-A 113,3.215,2.789,3.939,1,,0,,0,,0,,0,,0,0.8424770129,TRUE,TRUE,FALSE
AAAD-A,120,AAAD-A 120,4,3.397,4.024,1,,0,,0,,0,,0,,0,0.592775899,TRUE,TRUE,FALSE
AAAD-A,132,AAAD-A 132,3.965,3.882,3.490,1,,0,,0,,0,,0,,0,2.166890537,FALSE,FALSE,TRUE
AAAD-A,150,AAAD-A 150,3.71,3.383,3.748,1,,0,,0,,0,,0,,0,1.407915842,TRUE,TRUE,TRUE
AAAD-A,154,AAAD-A 154,2.625,2.572,3.488,1,,0,,0,,0,,0,,0,2.174696136,FALSE,TRUE,FALSE
AAAD-A,156,AAAD-A 156,2.983,3.055,3.337,1,,0,,0,,0,,0,,0,2.620069684,TRUE,FALSE,FALSE
AAAD-A,169,AAAD-A 169,3.676,3.764,3.337,1,,0,,0,,0,,0,,0,2.618168818,FALSE,FALSE,TRUE
AAAD-A,203,AAAD-A 203,3.346,2.694,4.244,1,,0,,0,,0,,0,,0,0,FALSE,TRUE,FALSE
AAAD-A,210,AAAD-A 210,3.939,3.64,3.698,1,,0,,0,,0,,0,,0,1.554277557,TRUE,TRUE,FALSE
AAAD-A,221,AAAD-A 221,3.243,2.869,3.863,1,,0,,0,,0,,0,,0,1.068154979,TRUE,FALSE,FALSE
AAAD-A,238,AAAD-A 238,2.133,2.864,2.545,1,,0,,0,,0,,0,,0,4,FALSE,TRUE,FALSE
AAAD-A,249,AAAD-A 249,2.85,3.066,3.177,1,,0,,0,,0,,0,,0,3.092742908,FALSE,TRUE,FALSE
AAAD-A,251,AAAD-A 251,2.296,2.802,2.800,1,,0,,0,,0,,0,,0,4,TRUE,FALSE,FALSE
AAAD-A,263,AAAD-A 263,3.106,3.088,3.437,1,,0,,0,,0,,0,,0,2.3236853,TRUE,FALSE,FALSE
AAAD-A,264,AAAD-A 264,2.86,2.9,3.370,1,,0,,0,,0,,0,,0,2.521518484,TRUE,FALSE,FALSE
AAAD-A,265,AAAD-A 265,3.7,2.869,4.407,1,,0,,0,,0,,0,,0,0,FALSE,TRUE,TRUE
AAAD-A,275,AAAD-A 275,3.022,2.724,3.791,1,,0,,0,,0,,0,,0,1.279487629,TRUE,FALSE,FALSE
