Grade Distribution by Institution, Course Group, Academic Organization, and Course for 4195
"Institution Code","Inst Description","Term Code","Term Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-C","531","36","41","97.4","3.622","3.334","8","13","5","5","2","2","0","0","0","0","0","0","1","0","0","0","0","3","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-C","532","NR","NR","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-C","533","32","41","47.1","3.459","3.479","1","17","5","4","2","0","0","0","0","0","1","0","2","0","0","0","0","2","0","7","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-C","534","98","131","47.2","3.766","3.646","0","72","15","2","6","0","0","0","0","0","1","0","2","0","0","0","0","4","0","4","0","25","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-C","535","108","112","44.5","3.291","3.557","1","29","22","17","22","8","2","2","1","0","0","0","4","0","0","0","0","2","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-C","544","NR","NR","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-V","594","59","63","64.4","3.912","3.728","0","52","4","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-V","595","64","85","100","3.836","3.8","6","38","17","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","20","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-V","596","21","62","100","4","3.629","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-V","597","76","119","100","3.972","3.768","6","63","7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","42","0","09-06-2019",
